ball,metric,speed,club,value
Srixon Z-STAR DIVIDE,Spin,fast,driver,2737.0
Srixon Z-STAR,Spin,fast,driver,2944.0
Srixon SOFT FEEL,Spin Axis,fast,driver,-3.37
Callaway Supersoft,Spin Axis,fast,driver,-3.19
Pinnacle Rush,Spin Axis,fast,driver,-4.29
Titleist TruFeel,Spin Axis,fast,driver,-3.29
TaylorMade SpeedSoft,Spin Axis,fast,driver,-0.45
Srixon Q-STAR ULTISPEED,Spin Axis,fast,driver,-3.44
PXG Xtreme Tour,Spin Axis,fast,driver,-3.2
Maxfli Tour S,Spin Axis,fast,driver,-1.59
Titleist AVX,Spin Axis,fast,driver,-1.56
Callaway ERC Soft,Spin Axis,fast,driver,-3.38
Mizuno Pro X,Spin Axis,fast,driver,-2.77
Callaway Chrome Tour X,Spin Axis,fast,driver,-1.41
Callaway Chrome Tour Triple Diamond,Spin Axis,fast,driver,-2.64
Mizuno Pro S,Spin Axis,fast,driver,-1.67
Titleist Pro V1,Spin Axis,fast,driver,-3.21
Bridgestone TOUR B RXS,Spin Axis,fast,driver,0.22
Titleist Pro V1x Left Dash,Spin Axis,fast,driver,-0.94
TaylorMade Tour Response,Spin Axis,fast,driver,-3.02
Callaway Chrome Tour,Spin Axis,fast,driver,2.63
Titleist Velocity,Spin Axis,fast,driver,-4.12
Maxfli Tour,Spin Axis,fast,driver,-1.83
Vice Pro,Spin Axis,fast,driver,0.23
Vice Pro Air,Spin Axis,fast,driver,0.57
Wilson Triad,Spin Axis,fast,driver,-0.52
Bridgestone TOUR B RX,Spin Axis,fast,driver,-3.27
Titleist Tour Soft,Spin Axis,fast,driver,-4.49
PXG Xtreme Tour X,Spin Axis,fast,driver,-3.16
Maxfli Tour X,Spin Axis,fast,driver,0.27
Callaway Chrome Soft,Spin Axis,fast,driver,-2.76
Bridgestone TOUR B XS,Spin Axis,fast,driver,-1.16
Bridgestone TOUR B X,Spin Axis,fast,driver,-1.49
Srixon Q-STAR TOUR,Spin Axis,fast,driver,-2.59
Kirkland Performance+ v3.5,Spin Axis,fast,driver,-3.1
TaylorMade TP5x,Spin Axis,fast,driver,-2.04
Titleist Pro V1x,Spin Axis,fast,driver,-0.35
Wilson Staff Model,Spin Axis,fast,driver,-1.24
Srixon Z-STAR XV,Spin Axis,fast,driver,-1.14
Vice Pro Plus,Spin Axis,fast,driver,1.19
Srixon Z-STAR DIAMOND,Spin Axis,fast,driver,-1.46
TaylorMade TP5,Spin Axis,fast,driver,-3.25
Wilson Staff Model X,Spin Axis,fast,driver,-1.33
Member's Mark Pro Series 2,Spin Axis,fast,driver,0.74
Srixon Z-STAR DIVIDE,Spin Axis,fast,driver,-2.88
Srixon Z-STAR,Spin Axis,fast,driver,-2.41
Srixon SOFT FEEL,Launch Angle,fast,driver,10.0
Callaway Supersoft,Launch Angle,fast,driver,10.29
