ball,metric,speed,club,value
Wilson Triad,Total,fast,mid-iron,190.79
Titleist Pro V1,Total,fast,mid-iron,190.91
Kirkland Performance+ v3.5,Total,fast,mid-iron,189.36
Titleist AVX,Total,fast,mid-iron,193.56
Vice Pro Plus,Total,fast,mid-iron,189.79
Member's Mark Pro Series 2,Total,fast,mid-iron,188.26
Maxfli Tour X,Total,fast,mid-iron,193.86
Callaway Chrome Tour Triple Diamond,Total,fast,mid-iron,184.97
Wilson Staff Model X,Total,fast,mid-iron,186.82
Callaway Chrome Tour,Total,fast,mid-iron,192.96
 PXG Xtreme Tour,Total,fast,mid-iron,194.49
Srixon Z-STAR,Total,fast,mid-iron,188.1
TaylorMade TP5,Total,fast,mid-iron,190.91
Maxfli Tour,Total,fast,mid-iron,186.11
Srixon Z-STAR DIVIDE,Total,fast,mid-iron,180.89
Wilson Staff Model,Total,fast,mid-iron,184.38
Srixon SOFT FEEL,Carry,fast,mid-iron,186.8
Maxfli Tour S,Carry,fast,mid-iron,190.03
Titleist Pro V1x Left Dash,Carry,fast,mid-iron,184.27
Callaway Chrome Soft,Carry,fast,mid-iron,188.18
Bridgestone TOUR B RXS,Carry,fast,mid-iron,189.3
TaylorMade Tour Response,Carry,fast,mid-iron,192.28
Pinnacle Rush,Carry,fast,mid-iron,184.87
PXG Xtreme Tour X,Carry,fast,mid-iron,185.72
Srixon Q-STAR TOUR,Carry,fast,mid-iron,184.91
Vice Pro Air,Carry,fast,mid-iron,185.04
Titleist TruFeel,Carry,fast,mid-iron,185.94
Mizuno Pro S,Carry,fast,mid-iron,187.45
Bridgestone TOUR B X,Carry,fast,mid-iron,184.05
TaylorMade SpeedSoft,Carry,fast,mid-iron,182.82
Srixon Z-STAR XV,Carry,fast,mid-iron,186.52
Callaway Chrome Tour X,Carry,fast,mid-iron,184.89
Bridgestone TOUR B RX,Carry,fast,mid-iron,189.53
Bridgestone TOUR B XS,Carry,fast,mid-iron,183.29
Titleist Pro V1x,Carry,fast,mid-iron,181.43
Srixon Z-STAR DIAMOND,Carry,fast,mid-iron,179.68
Titleist Velocity,Carry,fast,mid-iron,181.11
Titleist Tour Soft,Carry,fast,mid-iron,181.6
Mizuno Pro X,Carry,fast,mid-iron,184.74
Callaway ERC Soft,Carry,fast,mid-iron,186.07
Vice Pro,Carry,fast,mid-iron,185.43
Srixon Q-STAR ULTISPEED,Carry,fast,mid-iron,183.77
TaylorMade TP5x,Carry,fast,mid-iron,184.97
Callaway Supersoft,Carry,fast,mid-iron,183.48
Wilson Triad,Carry,fast,mid-iron,182.8
Titleist Pro V1,Carry,fast,mid-iron,183.89
Kirkland Performance+ v3.5,Carry,fast,mid-iron,181.76
Titleist AVX,Carry,fast,mid-iron,185.42
Vice Pro Plus,Carry,fast,mid-iron,183.36
Member's Mark Pro Series 2,Carry,fast,mid-iron,180.85
Maxfli Tour X,Carry,fast,mid-iron,185.68
Callaway Chrome Tour Triple Diamond,Carry,fast,mid-iron,180.11
Wilson Staff Model X,Carry,fast,mid-iron,181.69
Callaway Chrome Tour,Carry,fast,mid-iron,185.52
 PXG Xtreme Tour,Carry,fast,mid-iron,185.84
Srixon Z-STAR,Carry,fast,mid-iron,181.26
TaylorMade TP5,Carry,fast,mid-iron,182.35
Maxfli Tour,Carry,fast,mid-iron,179.68
Srixon Z-STAR DIVIDE,Carry,fast,mid-iron,176.42
Wilson Staff Model,Carry,fast,mid-iron,179.4
Srixon SOFT FEEL,Descent Angle,fast,mid-iron,46.48
Maxfli Tour S,Descent Angle,fast,mid-iron,46.59
Titleist Pro V1x Left Dash,Descent Angle,fast,mid-iron,46.66
Callaway Chrome Soft,Descent Angle,fast,mid-iron,46.71
Bridgestone TOUR B RXS,Descent Angle,fast,mid-iron,46.73
TaylorMade Tour Response,Descent Angle,fast,mid-iron,46.73
Pinnacle Rush,Descent Angle,fast,mid-iron,46.75
PXG Xtreme Tour X,Descent Angle,fast,mid-iron,46.95
Srixon Q-STAR TOUR,Descent Angle,fast,mid-iron,47.11
Vice Pro Air,Descent Angle,fast,mid-iron,47.14
Titleist TruFeel,Descent Angle,fast,mid-iron,47.18
Mizuno Pro S,Descent Angle,fast,mid-iron,47.2
Bridgestone TOUR B X,Descent Angle,fast,mid-iron,47.26
TaylorMade SpeedSoft,Descent Angle,fast,mid-iron,47.52
Srixon Z-STAR XV,Descent Angle,fast,mid-iron,47.58
Callaway Chrome Tour X,Descent Angle,fast,mid-iron,47.6
Bridgestone TOUR B RX,Descent Angle,fast,mid-iron,47.71
Bridgestone TOUR B XS,Descent Angle,fast,mid-iron,47.73
Titleist Pro V1x,Descent Angle,fast,mid-iron,47.9
Srixon Z-STAR DIAMOND,Descent Angle,fast,mid-iron,47.96
Titleist Velocity,Descent Angle,fast,mid-iron,47.99
Titleist Tour Soft,Descent Angle,fast,mid-iron,48.01
Mizuno Pro X,Descent Angle,fast,mid-iron,48.01
Callaway ERC Soft,Descent Angle,fast,mid-iron,48.05
Vice Pro,Descent Angle,fast,mid-iron,48.09
Srixon Q-STAR ULTISPEED,Descent Angle,fast,mid-iron,48.12
TaylorMade TP5x,Descent Angle,fast,mid-iron,48.15
Callaway Supersoft,Descent Angle,fast,mid-iron,48.16
Wilson Triad,Descent Angle,fast,mid-iron,48.18
Titleist Pro V1,Descent Angle,fast,mid-iron,48.23
Kirkland Performance+ v3.5,Descent Angle,fast,mid-iron,48.28
Titleist AVX,Descent Angle,fast,mid-iron,48.35
Vice Pro Plus,Descent Angle,fast,mid-iron,48.42
Member's Mark Pro Series 2,Descent Angle,fast,mid-iron,48.44
Maxfli Tour X,Descent Angle,fast,mid-iron,48.5
Callaway Chrome Tour Triple Diamond,Descent Angle,fast,mid-iron,48.77
Wilson Staff Model X,Descent Angle,fast,mid-iron,48.78
Callaway Chrome Tour,Descent Angle,fast,mid-iron,48.83
 PXG Xtreme Tour,Descent Angle,fast,mid-iron,49.04
Srixon Z-STAR,Descent Angle,fast,mid-iron,49.28
TaylorMade TP5,Descent Angle,fast,mid-iron,49.43
Maxfli Tour,Descent Angle,fast,mid-iron,50.07
Srixon Z-STAR DIVIDE,Descent Angle,fast,mid-iron,50.2
Wilson Staff Model,Descent Angle,fast,mid-iron,50.47
Srixon SOFT FEEL,Max Height,fast,mid-iron,104.45
Maxfli Tour S,Max Height,fast,mid-iron,106.29
Titleist Pro V1x Left Dash,Max Height,fast,mid-iron,105.57
Callaway Chrome Soft,Max Height,fast,mid-iron,105.86
Bridgestone TOUR B RXS,Max Height,fast,mid-iron,106.49
TaylorMade Tour Response,Max Height,fast,mid-iron,107.71
Pinnacle Rush,Max Height,fast,mid-iron,103.14
PXG Xtreme Tour X,Max Height,fast,mid-iron,106.15
Srixon Q-STAR TOUR,Max Height,fast,mid-iron,105.15
Vice Pro Air,Max Height,fast,mid-iron,106.58
Titleist TruFeel,Max Height,fast,mid-iron,105.99
Mizuno Pro S,Max Height,fast,mid-iron,105.66
Bridgestone TOUR B X,Max Height,fast,mid-iron,105.74
TaylorMade SpeedSoft,Max Height,fast,mid-iron,105.56
Srixon Z-STAR XV,Max Height,fast,mid-iron,107.0
Callaway Chrome Tour X,Max Height,fast,mid-iron,105.77
Bridgestone TOUR B RX,Max Height,fast,mid-iron,107.41
Bridgestone TOUR B XS,Max Height,fast,mid-iron,104.75
Titleist Pro V1x,Max Height,fast,mid-iron,106.52
Srixon Z-STAR DIAMOND,Max Height,fast,mid-iron,105.58
Titleist Velocity,Max Height,fast,mid-iron,104.79
Titleist Tour Soft,Max Height,fast,mid-iron,104.47
Mizuno Pro X,Max Height,fast,mid-iron,107.13
Callaway ERC Soft,Max Height,fast,mid-iron,110.19
Vice Pro,Max Height,fast,mid-iron,107.47
Srixon Q-STAR ULTISPEED,Max Height,fast,mid-iron,107.64
TaylorMade TP5x,Max Height,fast,mid-iron,109.93
Callaway Supersoft,Max Height,fast,mid-iron,109.05
Wilson Triad,Max Height,fast,mid-iron,106.62
Titleist Pro V1,Max Height,fast,mid-iron,108.08
Kirkland Performance+ v3.5,Max Height,fast,mid-iron,106.07
Titleist AVX,Max Height,fast,mid-iron,108.07
Vice Pro Plus,Max Height,fast,mid-iron,108.67
Member's Mark Pro Series 2,Max Height,fast,mid-iron,106.98
Maxfli Tour X,Max Height,fast,mid-iron,109.24
Callaway Chrome Tour Triple Diamond,Max Height,fast,mid-iron,109.75
Wilson Staff Model X,Max Height,fast,mid-iron,108.25
Callaway Chrome Tour,Max Height,fast,mid-iron,109.93
 PXG Xtreme Tour,Max Height,fast,mid-iron,109.78
Srixon Z-STAR,Max Height,fast,mid-iron,107.8
TaylorMade TP5,Max Height,fast,mid-iron,109.74
Maxfli Tour,Max Height,fast,mid-iron,110.7
Srixon Z-STAR DIVIDE,Max Height,fast,mid-iron,109.34
Wilson Staff Model,Max Height,fast,mid-iron,111.92
Srixon SOFT FEEL,Spin,fast,mid-iron,6288.0
Maxfli Tour S,Spin,fast,mid-iron,6000.0
Titleist Pro V1x Left Dash,Spin,fast,mid-iron,6465.0
Callaway Chrome Soft,Spin,fast,mid-iron,6410.0
Bridgestone TOUR B RXS,Spin,fast,mid-iron,5433.0
TaylorMade Tour Response,Spin,fast,mid-iron,5968.0
Pinnacle Rush,Spin,fast,mid-iron,6762.0
PXG Xtreme Tour X,Spin,fast,mid-iron,6818.0
Srixon Q-STAR TOUR,Spin,fast,mid-iron,6261.0
Vice Pro Air,Spin,fast,mid-iron,5949.0
Titleist TruFeel,Spin,fast,mid-iron,6507.0
Mizuno Pro S,Spin,fast,mid-iron,6134.0
Bridgestone TOUR B X,Spin,fast,mid-iron,6655.0
TaylorMade SpeedSoft,Spin,fast,mid-iron,6497.0
Srixon Z-STAR XV,Spin,fast,mid-iron,6692.0
Callaway Chrome Tour X,Spin,fast,mid-iron,7118.0
Bridgestone TOUR B RX,Spin,fast,mid-iron,6008.0
Bridgestone TOUR B XS,Spin,fast,mid-iron,6781.0
Titleist Pro V1x,Spin,fast,mid-iron,6728.0
Srixon Z-STAR DIAMOND,Spin,fast,mid-iron,7151.0
Titleist Velocity,Spin,fast,mid-iron,7104.0
Titleist Tour Soft,Spin,fast,mid-iron,6741.0
Mizuno Pro X,Spin,fast,mid-iron,6613.0
Callaway ERC Soft,Spin,fast,mid-iron,6021.0
Vice Pro,Spin,fast,mid-iron,6296.0
Srixon Q-STAR ULTISPEED,Spin,fast,mid-iron,6813.0
TaylorMade TP5x,Spin,fast,mid-iron,6200.0
Callaway Supersoft,Spin,fast,mid-iron,5848.0
Wilson Triad,Spin,fast,mid-iron,6400.0
Titleist Pro V1,Spin,fast,mid-iron,6626.0
Kirkland Performance+ v3.5,Spin,fast,mid-iron,6817.0
Titleist AVX,Spin,fast,mid-iron,6417.0
Vice Pro Plus,Spin,fast,mid-iron,6664.0
Member's Mark Pro Series 2,Spin,fast,mid-iron,6401.0
Maxfli Tour X,Spin,fast,mid-iron,6691.0
Callaway Chrome Tour Triple Diamond,Spin,fast,mid-iron,6777.0
Wilson Staff Model X,Spin,fast,mid-iron,7090.0
Callaway Chrome Tour,Spin,fast,mid-iron,6343.0
 PXG Xtreme Tour,Spin,fast,mid-iron,6481.0
Srixon Z-STAR,Spin,fast,mid-iron,6680.0
TaylorMade TP5,Spin,fast,mid-iron,6332.0
Maxfli Tour,Spin,fast,mid-iron,6496.0
Srixon Z-STAR DIVIDE,Spin,fast,mid-iron,6636.0
Wilson Staff Model,Spin,fast,mid-iron,6513.0
Srixon SOFT FEEL,Spin Axis,fast,mid-iron,1.56
Maxfli Tour S,Spin Axis,fast,mid-iron,1.79
Titleist Pro V1x Left Dash,Spin Axis,fast,mid-iron,1.54
Callaway Chrome Soft,Spin Axis,fast,mid-iron,1.52
Bridgestone TOUR B RXS,Spin Axis,fast,mid-iron,1.61
TaylorMade Tour Response,Spin Axis,fast,mid-iron,1.54
Pinnacle Rush,Spin Axis,fast,mid-iron,1.92
PXG Xtreme Tour X,Spin Axis,fast,mid-iron,1.66
Srixon Q-STAR TOUR,Spin Axis,fast,mid-iron,1.77
Vice Pro Air,Spin Axis,fast,mid-iron,1.26
Titleist TruFeel,Spin Axis,fast,mid-iron,1.99
Mizuno Pro S,Spin Axis,fast,mid-iron,1.8
Bridgestone TOUR B X,Spin Axis,fast,mid-iron,1.75
TaylorMade SpeedSoft,Spin Axis,fast,mid-iron,1.23
Srixon Z-STAR XV,Spin Axis,fast,mid-iron,1.28
Callaway Chrome Tour X,Spin Axis,fast,mid-iron,0.71
Bridgestone TOUR B RX,Spin Axis,fast,mid-iron,1.47
Bridgestone TOUR B XS,Spin Axis,fast,mid-iron,1.19
Titleist Pro V1x,Spin Axis,fast,mid-iron,1.5
Srixon Z-STAR DIAMOND,Spin Axis,fast,mid-iron,1.63
Titleist Velocity,Spin Axis,fast,mid-iron,1.81
Titleist Tour Soft,Spin Axis,fast,mid-iron,1.58
Mizuno Pro X,Spin Axis,fast,mid-iron,1.74
Callaway ERC Soft,Spin Axis,fast,mid-iron,1.48
Vice Pro,Spin Axis,fast,mid-iron,0.81
Srixon Q-STAR ULTISPEED,Spin Axis,fast,mid-iron,1.61
TaylorMade TP5x,Spin Axis,fast,mid-iron,1.38
Callaway Supersoft,Spin Axis,fast,mid-iron,1.62
Wilson Triad,Spin Axis,fast,mid-iron,1.62
Titleist Pro V1,Spin Axis,fast,mid-iron,1.11
Kirkland Performance+ v3.5,Spin Axis,fast,mid-iron,0.76
Titleist AVX,Spin Axis,fast,mid-iron,1.53
Vice Pro Plus,Spin Axis,fast,mid-iron,1.87
Member's Mark Pro Series 2,Spin Axis,fast,mid-iron,1.86
Maxfli Tour X,Spin Axis,fast,mid-iron,1.63
Callaway Chrome Tour Triple Diamond,Spin Axis,fast,mid-iron,1.45
Wilson Staff Model X,Spin Axis,fast,mid-iron,1.59
Callaway Chrome Tour,Spin Axis,fast,mid-iron,1.01
 PXG Xtreme Tour,Spin Axis,fast,mid-iron,1.71
Srixon Z-STAR,Spin Axis,fast,mid-iron,1.19
TaylorMade TP5,Spin Axis,fast,mid-iron,2.11
Maxfli Tour,Spin Axis,fast,mid-iron,0.59
Srixon Z-STAR DIVIDE,Spin Axis,fast,mid-iron,1.9
Wilson Staff Model,Spin Axis,fast,mid-iron,1.79
Srixon SOFT FEEL,Launch Angle,fast,mid-iron,17.33
Maxfli Tour S,Launch Angle,fast,mid-iron,17.43
Titleist Pro V1x Left Dash,Launch Angle,fast,mid-iron,17.07
Callaway Chrome Soft,Launch Angle,fast,mid-iron,17.17
Bridgestone TOUR B RXS,Launch Angle,fast,mid-iron,17.28
TaylorMade Tour Response,Launch Angle,fast,mid-iron,17.49
Pinnacle Rush,Launch Angle,fast,mid-iron,16.96
PXG Xtreme Tour X,Launch Angle,fast,mid-iron,16.89
Srixon Q-STAR TOUR,Launch Angle,fast,mid-iron,17.24
Vice Pro Air,Launch Angle,fast,mid-iron,17.56
Titleist TruFeel,Launch Angle,fast,mid-iron,17.28
Mizuno Pro S,Launch Angle,fast,mid-iron,17.4
Bridgestone TOUR B X,Launch Angle,fast,mid-iron,16.87
TaylorMade SpeedSoft,Launch Angle,fast,mid-iron,17.03
Srixon Z-STAR XV,Launch Angle,fast,mid-iron,16.97
Callaway Chrome Tour X,Launch Angle,fast,mid-iron,16.66
Bridgestone TOUR B RX,Launch Angle,fast,mid-iron,17.22
Bridgestone TOUR B XS,Launch Angle,fast,mid-iron,16.7
Titleist Pro V1x,Launch Angle,fast,mid-iron,16.87
Srixon Z-STAR DIAMOND,Launch Angle,fast,mid-iron,16.59
Titleist Velocity,Launch Angle,fast,mid-iron,16.55
Titleist Tour Soft,Launch Angle,fast,mid-iron,16.51
Mizuno Pro X,Launch Angle,fast,mid-iron,17.05
Callaway ERC Soft,Launch Angle,fast,mid-iron,17.49
Vice Pro,Launch Angle,fast,mid-iron,17.2
Srixon Q-STAR ULTISPEED,Launch Angle,fast,mid-iron,16.67
TaylorMade TP5x,Launch Angle,fast,mid-iron,17.47
Callaway Supersoft,Launch Angle,fast,mid-iron,17.37
Wilson Triad,Launch Angle,fast,mid-iron,16.95
Titleist Pro V1,Launch Angle,fast,mid-iron,17.0
Kirkland Performance+ v3.5,Launch Angle,fast,mid-iron,16.7
Titleist AVX,Launch Angle,fast,mid-iron,17.09
Vice Pro Plus,Launch Angle,fast,mid-iron,17.02
Member's Mark Pro Series 2,Launch Angle,fast,mid-iron,16.98
Maxfli Tour X,Launch Angle,fast,mid-iron,16.95
Callaway Chrome Tour Triple Diamond,Launch Angle,fast,mid-iron,16.83
Wilson Staff Model X,Launch Angle,fast,mid-iron,16.68
Callaway Chrome Tour,Launch Angle,fast,mid-iron,17.14
 PXG Xtreme Tour,Launch Angle,fast,mid-iron,17.13
Srixon Z-STAR,Launch Angle,fast,mid-iron,16.84
TaylorMade TP5,Launch Angle,fast,mid-iron,17.2
Maxfli Tour,Launch Angle,fast,mid-iron,17.0
Srixon Z-STAR DIVIDE,Launch Angle,fast,mid-iron,16.93
Wilson Staff Model,Launch Angle,fast,mid-iron,16.93
Srixon SOFT FEEL,Ball Speed,fast,mid-iron,126.25
Maxfli Tour S,Ball Speed,fast,mid-iron,126.75
Titleist Pro V1x Left Dash,Ball Speed,fast,mid-iron,126.75
Callaway Chrome Soft,Ball Speed,fast,mid-iron,126.77
Bridgestone TOUR B RXS,Ball Speed,fast,mid-iron,126.72
TaylorMade Tour Response,Ball Speed,fast,mid-iron,127.13
Pinnacle Rush,Ball Speed,fast,mid-iron,126.49
PXG Xtreme Tour X,Ball Speed,fast,mid-iron,127.44
Srixon Q-STAR TOUR,Ball Speed,fast,mid-iron,126.49
Vice Pro Air,Ball Speed,fast,mid-iron,126.18
Titleist TruFeel,Ball Speed,fast,mid-iron,126.85
Mizuno Pro S,Ball Speed,fast,mid-iron,126.29
Bridgestone TOUR B X,Ball Speed,fast,mid-iron,126.95
TaylorMade SpeedSoft,Ball Speed,fast,mid-iron,126.46
Srixon Z-STAR XV,Ball Speed,fast,mid-iron,127.25
Callaway Chrome Tour X,Ball Speed,fast,mid-iron,127.4
Bridgestone TOUR B RX,Ball Speed,fast,mid-iron,126.65
Bridgestone TOUR B XS,Ball Speed,fast,mid-iron,127.05
Titleist Pro V1x,Ball Speed,fast,mid-iron,127.12
Srixon Z-STAR DIAMOND,Ball Speed,fast,mid-iron,126.87
Titleist Velocity,Ball Speed,fast,mid-iron,126.97
Titleist Tour Soft,Ball Speed,fast,mid-iron,127.19
Mizuno Pro X,Ball Speed,fast,mid-iron,126.82
Callaway ERC Soft,Ball Speed,fast,mid-iron,127.23
Vice Pro,Ball Speed,fast,mid-iron,126.79
Srixon Q-STAR ULTISPEED,Ball Speed,fast,mid-iron,127.59
TaylorMade TP5x,Ball Speed,fast,mid-iron,126.75
Callaway Supersoft,Ball Speed,fast,mid-iron,126.87
Wilson Triad,Ball Speed,fast,mid-iron,126.7
Titleist Pro V1,Ball Speed,fast,mid-iron,127.2
Kirkland Performance+ v3.5,Ball Speed,fast,mid-iron,126.65
Titleist AVX,Ball Speed,fast,mid-iron,127.06
Vice Pro Plus,Ball Speed,fast,mid-iron,126.79
Member's Mark Pro Series 2,Ball Speed,fast,mid-iron,126.48
Maxfli Tour X,Ball Speed,fast,mid-iron,127.67
Callaway Chrome Tour Triple Diamond,Ball Speed,fast,mid-iron,127.44
Wilson Staff Model X,Ball Speed,fast,mid-iron,127.33
Callaway Chrome Tour,Ball Speed,fast,mid-iron,127.16
 PXG Xtreme Tour,Ball Speed,fast,mid-iron,127.36
Srixon Z-STAR,Ball Speed,fast,mid-iron,126.61
TaylorMade TP5,Ball Speed,fast,mid-iron,126.79
Maxfli Tour,Ball Speed,fast,mid-iron,127.24
Srixon Z-STAR DIVIDE,Ball Speed,fast,mid-iron,126.66
Wilson Staff Model,Ball Speed,fast,mid-iron,127.08
Wilson Staff Model X,ball-speed,slow,driver,124.0
PXG Xtreme Tour X,ball-speed,slow,driver,124.0
Maxfli Tour X,ball-speed,slow,driver,124.0
Titleist Velocity,ball-speed,slow,driver,124.0
Callaway Chrome Tour Triple Diamond,ball-speed,slow,driver,124.0
Wilson Staff Model,ball-speed,slow,driver,123.9972
Callaway Chrome Tour X,ball-speed,slow,driver,123.9888
Srixon Q-STAR ULTISPEED,ball-speed,slow,driver,123.9497
PXG Xtreme Tour,ball-speed,slow,driver,123.9413
Titleist Pro V1,ball-speed,slow,driver,123.8883
Titleist Tour Soft,ball-speed,slow,driver,123.8715
Callaway ERC Soft,ball-speed,slow,driver,123.7877
Mizuno Pro X,ball-speed,slow,driver,123.7486
Srixon Z-STAR XV,ball-speed,slow,driver,123.676
Callaway Chrome Tour,ball-speed,slow,driver,123.6424
Srixon Z-STAR DIAMOND,ball-speed,slow,driver,123.6033
Bridgestone TOUR B X,ball-speed,slow,driver,123.595
Maxfli Tour,ball-speed,slow,driver,123.5307
Member's Mark Pro Series 2,ball-speed,slow,driver,123.5167
TaylorMade TP5x,ball-speed,slow,driver,123.5167
Vice Pro Plus,ball-speed,slow,driver,123.4972
TaylorMade TP5,ball-speed,slow,driver,123.4637
Pinnacle Rush,ball-speed,slow,driver,123.4385
Titleist Pro V1x,ball-speed,slow,driver,123.4302
Titleist TruFeel,ball-speed,slow,driver,123.4246
Kirkland Performance+ v3.5,ball-speed,slow,driver,123.405
Mizuno Pro S,ball-speed,slow,driver,123.3715
Titleist AVX,ball-speed,slow,driver,123.3519
Srixon Z-STAR DIVIDE,ball-speed,slow,driver,123.338
Bridgestone TOUR B XS,ball-speed,slow,driver,123.2849
Titleist Pro V1x Left Dash,ball-speed,slow,driver,123.2709
Srixon Z-STAR,ball-speed,slow,driver,123.2039
Vice Pro,ball-speed,slow,driver,123.1788
Maxfli Tour S,ball-speed,slow,driver,123.0866
Callaway Chrome Soft,ball-speed,slow,driver,123.0866
Bridgestone TOUR B RX,ball-speed,slow,driver,123.0782
TaylorMade Tour Response,ball-speed,slow,driver,123.0391
Wilson Triad,ball-speed,slow,driver,123.0139
Callaway Supersoft,ball-speed,slow,driver,123.0
Bridgestone TOUR B RXS,ball-speed,slow,driver,123.0
TaylorMade SpeedSoft,ball-speed,slow,driver,123.0
Srixon Q-STAR TOUR,ball-speed,slow,driver,123.0
Vice Pro Air,ball-speed,slow,driver,123.0
Srixon SOFT FEEL,ball-speed,slow,driver,123.0
Titleist Pro V1,ball-speed,wedge,35-percent-sand-wedge,44.7
Callaway Supersoft,ball-speed,wedge,35-percent-sand-wedge,44.62
TaylorMade Tour Response,ball-speed,wedge,35-percent-sand-wedge,44.56
Wilson Staff Model X,ball-speed,wedge,35-percent-sand-wedge,44.5273
Titleist Tour Soft,ball-speed,wedge,35-percent-sand-wedge,44.5
Srixon Q-STAR ULTISPEED,ball-speed,wedge,35-percent-sand-wedge,44.4652
Callaway Chrome Soft,ball-speed,wedge,35-percent-sand-wedge,44.37
Bridgestone TOUR B RX,ball-speed,wedge,35-percent-sand-wedge,44.3417
Srixon Q-STAR TOUR,ball-speed,wedge,35-percent-sand-wedge,44.33
Wilson Triad,ball-speed,wedge,35-percent-sand-wedge,44.3243
Vice Pro,ball-speed,wedge,35-percent-sand-wedge,44.3243
Wilson Staff Model,ball-speed,wedge,35-percent-sand-wedge,44.31
TaylorMade TP5,ball-speed,wedge,35-percent-sand-wedge,44.31
Titleist TruFeel,ball-speed,wedge,35-percent-sand-wedge,44.31
Bridgestone TOUR B XS,ball-speed,wedge,35-percent-sand-wedge,44.2735
Maxfli Tour X,ball-speed,wedge,35-percent-sand-wedge,44.27
Srixon SOFT FEEL,ball-speed,wedge,35-percent-sand-wedge,44.2683
Maxfli Tour,ball-speed,wedge,35-percent-sand-wedge,44.26
Maxfli Tour S,ball-speed,wedge,35-percent-sand-wedge,44.2441
Bridgestone TOUR B X,ball-speed,wedge,35-percent-sand-wedge,44.23
Vice Pro Air,ball-speed,wedge,35-percent-sand-wedge,44.2186
TaylorMade TP5x,ball-speed,wedge,35-percent-sand-wedge,44.1995
Bridgestone TOUR B RXS,ball-speed,wedge,35-percent-sand-wedge,44.19
Srixon Z-STAR DIAMOND,ball-speed,wedge,35-percent-sand-wedge,44.1867
Srixon Z-STAR,ball-speed,wedge,35-percent-sand-wedge,44.18
Callaway Chrome Tour X,ball-speed,wedge,35-percent-sand-wedge,44.1767
Srixon Z-STAR XV,ball-speed,wedge,35-percent-sand-wedge,44.17
Vice Pro Plus,ball-speed,wedge,35-percent-sand-wedge,44.1542
PXG Xtreme Tour X,ball-speed,wedge,35-percent-sand-wedge,44.14
PXG Xtreme Tour,ball-speed,wedge,35-percent-sand-wedge,44.0886
Titleist AVX,ball-speed,wedge,35-percent-sand-wedge,44.08
TaylorMade SpeedSoft,ball-speed,wedge,35-percent-sand-wedge,44.07
Srixon Z-STAR DIVIDE,ball-speed,wedge,35-percent-sand-wedge,44.06
Callaway Chrome Tour,ball-speed,wedge,35-percent-sand-wedge,44.0
Mizuno Pro X,ball-speed,wedge,35-percent-sand-wedge,43.9814
Titleist Pro V1x,ball-speed,wedge,35-percent-sand-wedge,43.98
Callaway ERC Soft,ball-speed,wedge,35-percent-sand-wedge,43.9707
Kirkland Performance+ v3.5,ball-speed,wedge,35-percent-sand-wedge,43.88
Mizuno Pro S,ball-speed,wedge,35-percent-sand-wedge,43.8
Pinnacle Rush,ball-speed,wedge,35-percent-sand-wedge,43.77
Callaway Chrome Tour Triple Diamond,ball-speed,wedge,35-percent-sand-wedge,43.77
Titleist Pro V1x Left Dash,ball-speed,wedge,35-percent-sand-wedge,43.6788
Member's Mark Pro Series 2,ball-speed,wedge,35-percent-sand-wedge,43.67
Titleist Velocity,ball-speed,wedge,35-percent-sand-wedge,43.67
TaylorMade Tour Response,ball-speed,wedge,full-sand-wedge,82.0
Titleist TruFeel,ball-speed,wedge,full-sand-wedge,81.9483
Srixon Q-STAR ULTISPEED,ball-speed,wedge,full-sand-wedge,81.9155
Titleist Pro V1x,ball-speed,wedge,full-sand-wedge,81.7183
Bridgestone TOUR B RX,ball-speed,wedge,full-sand-wedge,81.6009
Callaway Supersoft,ball-speed,wedge,full-sand-wedge,81.5868
Wilson Triad,ball-speed,wedge,full-sand-wedge,81.5493
Vice Pro Air,ball-speed,wedge,full-sand-wedge,81.5446
Srixon SOFT FEEL,ball-speed,wedge,full-sand-wedge,81.4882
Vice Pro Plus,ball-speed,wedge,full-sand-wedge,81.4601
Vice Pro,ball-speed,wedge,full-sand-wedge,81.3896
Callaway Chrome Tour X,ball-speed,wedge,full-sand-wedge,81.3803
Titleist Tour Soft,ball-speed,wedge,full-sand-wedge,81.3521
Mizuno Pro X,ball-speed,wedge,full-sand-wedge,81.3333
Callaway Chrome Tour Triple Diamond,ball-speed,wedge,full-sand-wedge,81.2206
Maxfli Tour,ball-speed,wedge,full-sand-wedge,81.2159
Bridgestone TOUR B X,ball-speed,wedge,full-sand-wedge,81.1831
TaylorMade TP5,ball-speed,wedge,full-sand-wedge,81.169
Titleist AVX,ball-speed,wedge,full-sand-wedge,81.0798
TaylorMade TP5x,ball-speed,wedge,full-sand-wedge,81.0704
Srixon Z-STAR DIAMOND,ball-speed,wedge,full-sand-wedge,81.0375
Callaway ERC Soft,ball-speed,wedge,full-sand-wedge,81.0375
Wilson Staff Model X,ball-speed,wedge,full-sand-wedge,81.0
Maxfli Tour X,ball-speed,wedge,full-sand-wedge,81.0
Titleist Pro V1x Left Dash,ball-speed,wedge,full-sand-wedge,80.9626
Pinnacle Rush,ball-speed,wedge,full-sand-wedge,80.9299
PXG Xtreme Tour X,ball-speed,wedge,full-sand-wedge,80.9252
Srixon Z-STAR,ball-speed,wedge,full-sand-wedge,80.8831
Bridgestone TOUR B XS,ball-speed,wedge,full-sand-wedge,80.8831
